"id","parent_id:id","code","name","user_type_id:id","reconcile","chart_template_id:id"
"bms_account_53100002","bms_account_53030000","53100002","B. Umum - Makan Minum","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53100007","bms_account_53030000","53100007","B. Umum - Pengobatan","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53100008","bms_account_53030000","53100008","B. Umum - Pendidikan dan Pelatihan","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53100009","bms_account_53030000","53100009","B. Umum - Beasiswa ( CSR )","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53100010","bms_account_53030000","53100010","B. Umum - Seragam","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53100011","bms_account_53030000","53100011","B. Umum - Sumbangan/Bantuan Dana","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53100101","bms_account_53030000","53100101","Perlengkapan Mess","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53110001","bms_account_53030000","53110001","B. Umum - Entertain","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53110101","bms_account_53030000","53110101","B. Umum - Keperluan Mess","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53120001","bms_account_53030000","53120001","B. Umum - Asuransi","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53120002","bms_account_53030000","53120002","B. Umum - Pengepakan","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53120003","bms_account_53030000","53120003","B. Umum - Biaya Teknik","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53120004","bms_account_53030000","53120004","B. Umum - Tenaga Ahli","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53120005","bms_account_53030000","53120005","B. Umum - Perijinan","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53120006","bms_account_53030000","53120006","B. Umum - ATK & Materai","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53120007","bms_account_53030000","53120007","Biaya Pos & kirim dokumen","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53120008","bms_account_53030000","53120008","B. Umum - Biaya Survey","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53120009","bms_account_53030000","53120009","B. Umum - Biaya Maintenance","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53130001","bms_account_53030000","53130001","B. Umum - Keperluan Kantor","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53140001","bms_account_53030000","53140001","B. Umum - Alat Teknik","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53160001","bms_account_53030000","53160001","B. Umum - Adm. Bank","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53170001","bms_account_53030000","53170001","B. Umum - Keamanan","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53170002","bms_account_53030000","53170002","B. Umum - PPh Pasal 23 Final","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53170003","bms_account_53030000","53170003","B. Umum - Piutang Tak Tertagih","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53170004","bms_account_53030000","53170004","B. Umum - Kompensasi Royalti PTPN","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53170005","bms_account_53030000","53170005","B. Umum - Honorarium","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53170101","bms_account_53030000","53170101","B. Umum - Keperluan Kantor Lain-Lain","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53180001","bms_account_53030000","53180001","B. Umum - B. Pembulatan","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53180002","bms_account_53030000","53180002","B. Umum - Lain-lain umum & Adm","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53180003","bms_account_53030000","53180003","B. Umum - B. Perbaikan dan Pemeliharaan","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_53180004","bms_account_53030000","53180004","B. Umum - Pajak Pertambahan Nilai (Tdk Dpt kredit)","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_55010005","bms_account_53030000","55010005","Biaya perbaikan jalan & jembatan","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_61300999","","61300999","Pendapatan Lainnya","account_parent.data_account_type_view","0","l10n_id_bms"
"bms_account_61100001","bms_account_61300999","61100001","Pend. Lain - Pendapatan Klaim Asuransi","account.data_account_type_other_income","0","l10n_id_bms"
"bms_account_61100002","bms_account_61300999","61100002","Pendapatan bunga bank","account.data_account_type_other_income","0","l10n_id_bms"
"bms_account_61100101","bms_account_61300999","61100101","Pend. Lain - Pendapatan Pembulatan","account.data_account_type_other_income","0","l10n_id_bms"
"bms_account_61200001","bms_account_61300999","61200001","Pend. Lain - Pendapatan Lain-lain","account.data_account_type_other_income","0","l10n_id_bms"
"bms_account_61200002","bms_account_61300999","61200002","Pend. Lain - Pendapatan Bunga Bank","account.data_account_type_other_income","0","l10n_id_bms"
"bms_account_61200101","bms_account_61300999","61200101","Pend. Lain - Laba Penjualan Aktiva","account.data_account_type_other_income","0","l10n_id_bms"
"bms_account_65200999","","65200999","Beban Lain-lain - Biaya Lainya","account_parent.data_account_type_view","0","l10n_id_bms"
"bms_account_65100001","bms_account_65200999","65100001","Beban Lain-lain - Bunga Pinjaman","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_65100002","bms_account_65200999","65100002","Beban Lain-lain - Biaya Pph Pasal 23","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_65100003","bms_account_65200999","65100003","Beban Lain-lain - Beban Bunga Leasing","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_65100004","bms_account_65200999","65100004","Beban Lain-lain - Denda Pajak","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_65100005","bms_account_65200999","65100005","Beban Lain-lain - Bea Cukai","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_65100006","bms_account_65200999","65100006","Beban Lain-lain - Tax Amnesty (Pengampunan Pajak)","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_65100007","bms_account_65200999","65100007","Beban lain lain - Rugi Penjualan Aktiva","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_65100101","bms_account_65200999","65100101","Beban Lain-lain - Pajak Penghasilan","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_65100102","bms_account_65200999","65100102","Beban lain-lain - Biaya PPN","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_65100103","bms_account_65200999","65100103","Beban Lain-Lain- Selisih Kurs","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_65100104","bms_account_65200999","65100104","Beban Lain-lain - Biaya Lain Lain","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_65100105","bms_account_65200999","65100105","Biaya Lain Lain - PPN yang tidak dapat dikreditkan","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_65100106","bms_account_65200999","65100106","Beban Lain-lain - Administrasi Bank","account.data_account_type_direct_costs","0","l10n_id_bms"
"bms_account_99000099","","99000099","Laba Setelah dipotong Pajak","account_parent.data_account_type_view","0","l10n_id_bms"
